Date,Clicks,Impressions,CTR,Position
2026-04-13,0,9,0%,22.8
2026-04-14,0,18,0%,3.4
2026-04-15,2,17,11.76%,4.1
2026-04-16,0,12,0%,6.3
2026-04-17,1,14,7.14%,3.6
2026-04-18,0,6,0%,3.7
2026-04-19,0,5,0%,7.8
2026-04-20,1,8,12.5%,3.5
2026-04-21,1,16,6.25%,4
2026-04-22,0,8,0%,6.8
2026-04-23,1,19,5.26%,2.9
2026-04-24,0,21,0%,3.8
2026-04-25,2,17,11.76%,4.6
2026-04-26,0,20,0%,8.4
2026-04-27,0,21,0%,4.7
2026-04-28,1,20,5%,5.4
2026-04-29,0,18,0%,5.8
2026-04-30,0,19,0%,5.6
2026-05-01,2,20,10%,3.6
2026-05-02,0,9,0%,5.2
2026-05-03,0,10,0%,7.9
2026-05-04,1,21,4.76%,4.5
2026-05-05,0,26,0%,5.5
2026-05-06,0,25,0%,5.2
2026-05-07,3,27,11.11%,5.2
2026-05-08,1,34,2.94%,4.2
2026-05-09,0,10,0%,5.3
2026-05-10,0,16,0%,4.8
2026-05-11,0,35,0%,4.8
2026-05-12,2,26,7.69%,4.1
2026-05-13,0,14,0%,5.1
2026-05-14,1,20,5%,6.7
2026-05-15,3,14,21.43%,4.7
2026-05-16,0,5,0%,5.2
2026-05-17,0,5,0%,12.8
2026-05-18,0,9,0%,4.1
2026-05-19,0,13,0%,7.4
2026-05-20,0,14,0%,5.1
2026-05-21,0,17,0%,7.6
2026-05-22,1,22,4.55%,5.4
2026-05-23,0,13,0%,32.8
2026-05-24,1,14,7.14%,23.2
2026-05-25,1,30,3.33%,5.1
2026-05-26,1,25,4%,12.4
2026-05-27,0,20,0%,8.9
2026-05-28,0,19,0%,8.7
2026-05-29,0,33,0%,14.1
2026-05-30,1,14,7.14%,13.1
2026-05-31,0,4,0%,40